date	CoreTem	SkinTem
3.9333333333E+000	3.7062226247E+001	3.2059542548E+001
3.9500000000E+000	3.7062599437E+001	3.2064476054E+001
3.9666666667E+000	3.7062971103E+001	3.2069432360E+001
3.9833333333E+000	3.7063341269E+001	3.2074410775E+001
4.0000000000E+000	3.7063709957E+001	3.2079410615E+001
4.0166666667E+000	3.7064077188E+001	3.2084431210E+001
4.0333333333E+000	3.7064442986E+001	3.2089471898E+001
4.0500000000E+000	3.7064807371E+001	3.2094532027E+001
4.0666666667E+000	3.7065170364E+001	3.2099610958E+001
4.0833333333E+000	3.7065531987E+001	3.2104708060E+001
4.1000000000E+000	3.7065892260E+001	3.2109822712E+001
4.1166666667E+000	3.7066251203E+001	3.2114954302E+001
4.1333333333E+000	3.7066608836E+001	3.2120102231E+001
4.1500000000E+000	3.7066965178E+001	3.2125265905E+001
4.1666666667E+000	3.7067320249E+001	3.2130444744E+001
4.1833333333E+000	3.7067674067E+001	3.2135638174E+001
4.2000000000E+000	3.7068026650E+001	3.2140845633E+001
4.2166666667E+000	3.7068378018E+001	3.2146066565E+001
4.2333333333E+000	3.7068728189E+001	3.2151300425E+001
4.2500000000E+000	3.7069077178E+001	3.2156546678E+001
4.2666666667E+000	3.7069425005E+001	3.2161804796E+001
4.2833333333E+000	3.7069771686E+001	3.2167074260E+001
4.3000000000E+000	3.7070117237E+001	3.2172354559E+001
4.3166666667E+000	3.7070461676E+001	3.2177645194E+001
4.3333333333E+000	3.7070805019E+001	3.2182945670E+001
4.3500000000E+000	3.7071147281E+001	3.2188255502E+001
4.3666666667E+000	3.7071488477E+001	3.2193574214E+001
4.3833333333E+000	3.7071828625E+001	3.2198901337E+001
4.4000000000E+000	3.7072167737E+001	3.2204236410E+001
4.4166666667E+000	3.7072505831E+001	3.2209578982E+001
4.4333333333E+000	3.7072842919E+001	3.2214928606E+001
4.4500000000E+000	3.7073179016E+001	3.2220284847E+001
4.4666666667E+000	3.7073514137E+001	3.2225647273E+001
4.4833333333E+000	3.7073848296E+001	3.2231015464E+001
4.5000000000E+000	3.7074181505E+001	3.2236389004E+001
4.5166666667E+000	3.7074513779E+001	3.2241767486E+001
4.5333333333E+000	3.7074845130E+001	3.2247150509E+001
4.5500000000E+000	3.7075175572E+001	3.2252537681E+001
4.5666666667E+000	3.7075505116E+001	3.2257928615E+001
4.5833333333E+000	3.7075833777E+001	3.2263322932E+001
4.6000000000E+000	3.7076161565E+001	3.2268720260E+001
4.6166666667E+000	3.7076488493E+001	3.2274120233E+001
4.6333333333E+000	3.7076814573E+001	3.2279522493E+001
4.6500000000E+000	3.7077139816E+001	3.2284926685E+001
4.6666666667E+000	3.7077464234E+001	3.2290332466E+001
4.6833333333E+000	3.7077787838E+001	3.2295739494E+001
4.7000000000E+000	3.7078110638E+001	3.2301147437E+001
4.7166666667E+000	3.7078432647E+001	3.2306555968E+001
4.7333333333E+000	3.7078753874E+001	3.2311964765E+001
4.7500000000E+000	3.7079074330E+001	3.2317373513E+001
4.7666666667E+000	3.7079394025E+001	3.2322781904E+001
